source,type,score,scored_by,status,episodes,members
manga,movie,8.14,119149,finished_airing,1.0,223113
manga,ova,8.11,122298,finished_airing,3.0,274788
light_novel,movie,8.02,135871,finished_airing,1.0,222997
manga,movie,7.95,149715,finished_airing,1.0,237034
manga,tv,7.74,341948,finished_airing,12.0,591195
light_novel,tv,8.29,93286,finished_airing,13.0,301943
original,tv,8.11,119111,finished_airing,25.0,215043
light_novel,tv,8.11,116400,finished_airing,12.0,196665
manga,tv,7.74,318954,finished_airing,26.0,654572
web_manga,tv,7.83,204846,finished_airing,12.0,448160
manga,tv,7.66,593834,finished_airing,24.0,1145653
original,movie,8.21,98235,finished_airing,1.0,193666
light_novel,tv,7.69,439150,finished_airing,12.0,779427
4_koma_manga,tv,7.74,314962,finished_airing,24.0,633764
manga,tv,7.9,162676,finished_airing,12.0,323286
manga,tv,7.66,584103,finished_airing,12.0,902395
manga,tv,7.99,135090,finished_airing,12.0,318264
novel,ona,7.88,171320,finished_airing,12.0,359500
other,tv,7.77,251461,finished_airing,54.0,391628
manga,movie,7.92,147237,finished_airing,1.0,261804
manga,tv,8.11,112025,finished_airing,75.0,237552
light_novel,tv,7.92,146359,finished_airing,13.0,256259
light_novel,tv,7.72,329124,finished_airing,12.0,536407
manga,tv,8.18,97752,finished_airing,12.0,194720
manga,tv,7.8,213648,finished_airing,12.0,419663
manga,tv,7.65,541201,finished_airing,102.0,961889
manga,ova,8.06,117950,finished_airing,2.0,238297
manga,ova,8.39,79169,finished_airing,4.0,160945
manga,tv,8.22,92324,finished_airing,24.0,189317
manga,tv,8.11,107697,finished_airing,11.0,229317
light_novel,movie,8.43,77399,finished_airing,1.0,174750
manga,tv,8.16,99168,finished_airing,24.0,176058
light_novel,special,8.09,110626,finished_airing,3.0,175972
manga,tv,8.45,76272,finished_airing,13.0,240578
original,special,7.92,140483,finished_airing,4.0,252902
original,tv,8.05,118537,finished_airing,25.0,232566
original,tv,7.75,252056,finished_airing,11.0,552907
visual_novel,tv,7.95,134625,finished_airing,24.0,266106
manga,tv,8.27,87778,finished_airing,11.0,142211
manga,tv,8.45,75975,finished_airing,12.0,156980
manga,tv,7.81,193793,finished_airing,12.0,434338
manga,tv,8.42,76456,finished_airing,12.0,174426
manga,ova,8.1,106816,finished_airing,12.0,206844
original,movie,7.96,131126,finished_airing,1.0,282045
manga,tv,8.57,71961,finished_airing,11.0,178732
original,tv,8.01,122896,finished_airing,11.0,291189
manga,tv,7.89,147162,finished_airing,26.0,321648
manga,tv,7.83,178433,finished_airing,12.0,392118
